date,time,no2Value,longitude,latitude,regionName
04-01-2019,07:48:02,3.17E-04,77.2578,28.7247,North-East
05-01-2019,07:29:02,2.26E-04,77.2578,28.7247,North-East
06-01-2019,07:10:03,7.97E-05,77.2578,28.7247,North-East
07-01-2019,06:51:02,5.23E-04,77.2578,28.7247,North-East
08-01-2019,06:32:02,3.00E-04,77.2578,28.7247,North-East
08-01-2019,08:13:34,1.09E-04,77.2578,28.7247,North-East
09-01-2019,07:54:34,1.58E-04,77.2578,28.7247,North-East
10-01-2019,07:35:35,1.48E-04,77.2578,28.7247,North-East
11-01-2019,07:16:34,5.97E-04,77.2578,28.7247,North-East
12-01-2019,06:57:35,9.94E-04,77.2578,28.7247,North-East
13-01-2019,06:38:36,2.17E-04,77.2578,28.7247,North-East
14-01-2019,08:01:07,1.67E-04,77.2578,28.7247,North-East
15-01-2019,07:42:10,2.35E-04,77.2578,28.7247,North-East
17-01-2019,07:04:12,3.29E-04,77.2578,28.7247,North-East
18-01-2019,06:45:13,2.22E-04,77.2578,28.7247,North-East
19-01-2019,06:26:14,2.43E-04,77.2578,28.7247,North-East
19-01-2019,08:07:46,4.02E-04,77.2578,28.7247,North-East
20-01-2019,07:48:47,6.62E-04,77.2578,28.7247,North-East
22-01-2019,07:10:51,9.44E-05,77.2578,28.7247,North-East
23-01-2019,06:51:52,2.67E-04,77.2578,28.7247,North-East
24-01-2019,06:32:56,1.75E-04,77.2578,28.7247,North-East
24-01-2019,08:14:26,1.07E-04,77.2578,28.7247,North-East
25-01-2019,07:55:28,2.05E-04,77.2578,28.7247,North-East
26-01-2019,07:36:30,1.14E-04,77.2578,28.7247,North-East
27-01-2019,07:17:32,1.16E-04,77.2578,28.7247,North-East
28-01-2019,06:58:35,1.32E-04,77.2578,28.7247,North-East
29-01-2019,06:39:37,1.79E-04,77.2578,28.7247,North-East
30-01-2019,08:02:11,2.88E-04,77.2578,28.7247,North-East
31-01-2019,07:43:14,3.00E-04,77.2578,28.7247,North-East
01-02-2019,07:24:17,5.34E-04,77.2578,28.7247,North-East
02-02-2019,07:05:20,2.18E-04,77.2578,28.7247,North-East
03-02-2019,06:46:23,1.01E-04,77.2578,28.7247,North-East
04-02-2019,06:27:26,2.77E-04,77.2578,28.7247,North-East
04-02-2019,08:08:56,4.21E-04,77.2578,28.7247,North-East
05-02-2019,07:50:00,5.54E-04,77.2578,28.7247,North-East
06-02-2019,07:31:03,1.45E-04,77.2578,28.7247,North-East
07-02-2019,07:12:06,7.84E-05,77.2578,28.7247,North-East
08-02-2019,06:53:09,2.11E-04,77.2578,28.7247,North-East
09-02-2019,06:34:13,1.26E-04,77.2578,28.7247,North-East
09-02-2019,08:15:44,1.07E-04,77.2578,28.7247,North-East
10-02-2019,07:56:48,1.37E-04,77.2578,28.7247,North-East
11-02-2019,07:37:51,2.17E-04,77.2578,28.7247,North-East
12-02-2019,07:18:55,0.001011281,77.2578,28.7247,North-East
13-02-2019,06:59:59,6.87E-04,77.2578,28.7247,North-East
14-02-2019,06:41:03,1.17E-04,77.2578,28.7247,North-East
15-02-2019,08:03:37,3.17E-04,77.2578,28.7247,North-East
16-02-2019,07:44:41,9.45E-05,77.2578,28.7247,North-East
17-02-2019,07:25:45,8.65E-05,77.2578,28.7247,North-East
18-02-2019,07:06:49,1.53E-04,77.2578,28.7247,North-East
